profile_skypointId,transaction_id,transaction_product_id,transaction_date,transaction_value,ecommerce_as_ecommercepurchases_activitytypedisplay,ecommerce_as_ecommercepurchases_subject,ecommerce_as_ecommercepurchases_as_ecommercepurchases_id,ecommerce_as_ecommercecontact_firstname,ecommerce_as_ecommercecontact_lastname,ecommerce_as_ecommercecontact_fullname,ecommerce_as_ecommercecontact_dateofbirth,ecommerce_as_ecommercecontact_gender,ecommerce_as_ecommercecontact_email,ecommerce_as_ecommercecontact_telephone,ecommerce_as_ecommercecontact_postcode,ecommerce_as_ecommercecontact_streetaddress,ecommerce_as_ecommercecontact_city,ecommerce_as_ecommercecontact_state,ecommerce_as_ecommercecontact_country,ecommerce_as_ecommercecontact_createdon,ecommerce_as_ecommercecontact_headshot,ecommerce_as_ecommercecontact_as_ecommercecontact_id,willChurn
178a0b4c-4871-422d-8a7a-362cd1a1903c,OPID_2516,ProdID_1016,2018-10-19T00:00:00.000Z,123,OnlinePurchase,Purchased a product online,898,Daniel,Bolen,Daniel Bolen,1979-09-05T00:00:00.000Z,Male,daniel_bolen@colemanpatrickandbennett.com,8881026371,68268,4960 Mary Run Suite 300,Austin,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DanielBolen.png,68719477141,1
04a6d707-46a6-4b9c-a214-7040ae3781d3,OPID_12250,ProdID_1284,2018-06-29T00:00:00.000Z,40,OnlinePurchase,Purchased a product online,60129543251,Michelle,Mayans,Michelle Mayans,1971-01-20T00:00:00.000Z,Female,michelle_mayans@cruzmooreandpaul.com,045-763-3051,46404,308 Villarreal Shore Suite 008,Detroit,Michigan,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MichelleMayans.png,34359738487,0
1c05b7e9-7f65-4d84-b73c-f81524376ac4,OPID_9379,ProdID_1242,2017-03-25T00:00:00.000Z,146,OnlinePurchase,Purchased a product online,42949673106,Laura,Swinea,Laura Swinea,2005-09-20T00:00:00.000Z,Female,laura_swinea@leeturner.com,847-286-0346,92214,7456 Harrison Light,Gilbert,Arizona,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/LauraSwinea.png,418,1
78f3fc71-0f2b-4abe-b80a-38f51968d401,OPID_4216,ProdID_1086,2017-10-22T00:00:00.000Z,139,OnlinePurchase,Purchased a product online,77309411845,Thomas,Cedano,Thomas Cedano,2003-01-31T00:00:00.000Z,Male,thomas_cedano@parkerinc.com,868-384-3048x7362,17669,94824 Donovan Mill Suite 572,Sioux Falls,South Dakota,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/ThomasCedano.png,42949673191,1
51e7bd60-d950-4e38-8976-5862cbace870,OPID_5260,ProdID_1134,2017-09-27T00:00:00.000Z,69,OnlinePurchase,Purchased a product online,1220,Richard,Landenberger,Richard Landenberger,1975-02-04T00:00:00.000Z,Male,richard_landenberger@mooregroup.com,4467137683,39281,7718 Kiara Locks Suite 182,Pomona,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RichardLandenberger.png,42949673199,1
247d7761-a9aa-4a0d-9e45-e3f0e7455168,OPID_1178,ProdID_1000,2017-02-19T00:00:00.000Z,99,OnlinePurchase,Purchased a product online,34359738642,Ronald,Labruzzo,Ronald Labruzzo,1983-03-11T00:00:00.000Z,Male,ronald_labruzzo@smithlloydandcollins.com,421.304.0809,92016,26673 Amanda Estates Suite 863,Waco,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RonaldLabruzzo.png,17179869471,1
429e683b-b99a-44ae-9b87-eabd397eb896,OPID_11892,ProdID_1254,2018-03-27T00:00:00.000Z,185,OnlinePurchase,Purchased a product online,1005,Karen,Fluellen,Fluellen Karen,2008-08-14T00:00:00.000Z,Female,karen_fluellen@leejohnsonanddean.com,929-701-2167,89037,44543 Rodriguez Throughway,Boston,Massachusetts,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/KarenFluellen.png,8589935000,1
b12d5f60-6e84-4284-9766-ed9758d0d980,OPID_8441,ProdID_1191,2017-01-28T00:00:00.000Z,221,OnlinePurchase,Purchased a product online,68719477294,Elizabeth,Muschamp,Elizabeth Muschamp,1981-05-04T00:00:00.000Z,Female,elizabeth_muschamp@smithinc.com,987-611-8998,83661,430 Melissa Ways Suite 052,Aurora,Illinois,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/ElizabethMuschamp.png,25769804128,1
2f0d46e8-a3b1-493b-b423-cc000533f827,OPID_1334,ProdID_1034,2018-07-19T00:00:00.000Z,132,OnlinePurchase,Purchased a product online,42949673594,David,Chesterfield,David Chesterfield,2007-06-20T00:00:00.000Z,Male,david_chesterfield@levinecaldwell.com,4638464405,15243,97180 Flores Coves,Honolulu,Hawaii,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DavidChesterfield.png,17179869429,1
04a6d707-46a6-4b9c-a214-7040ae3781d3,OPID_12251,ProdID_1253,2018-08-21T00:00:00.000Z,73,OnlinePurchase,Purchased a product online,60129542555,Michelle,Mayans,Michelle Mayans,1971-01-20T00:00:00.000Z,Female,michelle_mayans@cruzmooreandpaul.com,045-763-3051,46404,308 Villarreal Shore Suite 008,Detroit,Michigan,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MichelleMayans.png,34359738487,1
