profile_skypointId,transaction_id,transaction_product_id,transaction_date,transaction_value,ecommerce_as_ecommercepurchases_activitytypedisplay,ecommerce_as_ecommercepurchases_subject,ecommerce_as_ecommercepurchases_as_ecommercepurchases_id,ecommerce_as_ecommercecontact_firstname,ecommerce_as_ecommercecontact_lastname,ecommerce_as_ecommercecontact_fullname,ecommerce_as_ecommercecontact_dateofbirth,ecommerce_as_ecommercecontact_gender,ecommerce_as_ecommercecontact_email,ecommerce_as_ecommercecontact_telephone,ecommerce_as_ecommercecontact_postcode,ecommerce_as_ecommercecontact_streetaddress,ecommerce_as_ecommercecontact_city,ecommerce_as_ecommercecontact_state,ecommerce_as_ecommercecontact_country,ecommerce_as_ecommercecontact_createdon,ecommerce_as_ecommercecontact_headshot,ecommerce_as_ecommercecontact_as_ecommercecontact_id,willChurn
3fff202c-35f0-4b5d-bebb-d5784bf8cdac,OPID_8320,ProdID_1162,2017-05-09T00:00:00.000Z,167,OnlinePurchase,Purchased a product online,34359738835,Donna,Moffett,Donna Moffett,1988-07-29T00:00:00.000Z,Female,donna_moffett@boyddavenport.com,001-418-067-2082x420,11133,006 Jessica Rue,Tempe,Arizona,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonnaMoffett.png,68719476963,1
429e683b-b99a-44ae-9b87-eabd397eb896,OPID_11890,ProdID_1271,2017-07-18T00:00:00.000Z,64,OnlinePurchase,Purchased a product online,51539608115,Karen,Fluellen,Fluellen Karen,2008-08-14T00:00:00.000Z,Female,karen_fluellen@leejohnsonanddean.com,929-701-2167,89037,44543 Rodriguez Throughway,Boston,Massachusetts,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/KarenFluellen.png,8589935000,1
4141103b-ca3b-4270-b151-3a4c8eb9fa66,OPID_6765,ProdID_1134,2018-07-28T00:00:00.000Z,180,OnlinePurchase,Purchased a product online,77309411745,Ronald,Deiter,Deiter Ronald,1976-10-29T00:00:00.000Z,Male,ronald_deiter@bellmorrison.com,001-457-289-7442x08901,98128,884 Tracy Fields,Fort Worth,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RonaldDeiter.png,8589934895,1
4d450a16-d80d-40c1-9a44-71926e64f54c,OPID_4891,ProdID_1098,2018-09-30T00:00:00.000Z,121,OnlinePurchase,Purchased a product online,839,Donald,Woodbury,Donald Woodbury,1987-02-11T00:00:00.000Z,Male,donald_woodbury@hortonmorganandjohnson.com,904-091-4530x97740,99414,29357 Beth Branch Apt. 873,Sioux Falls,South Dakota,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonaldWoodbury.png,68719476900,0
4d450a16-d80d-40c1-9a44-71926e64f54c,OPID_4892,ProdID_1065,2018-10-15T00:00:00.000Z,230,OnlinePurchase,Purchased a product online,248,Donald,Woodbury,Donald Woodbury,1987-02-11T00:00:00.000Z,Male,donald_woodbury@hortonmorganandjohnson.com,904-091-4530x97740,99414,29357 Beth Branch Apt. 873,Sioux Falls,South Dakota,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonaldWoodbury.png,68719476900,1
23d7fb02-5e64-4387-aaab-00cfdb81b2e2,OPID_5097,ProdID_1058,2017-03-20T00:00:00.000Z,47,OnlinePurchase,Purchased a product online,77309411929,Robert,Kittle,Robert Kittle,1990-11-29T00:00:00.000Z,Male,robert_kittle@mcgeeibarra.com,001-323-494-3907x0481,10672,7785 Kevin Lake,Stockton,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RobertKittle.png,25769804018,1
429e683b-b99a-44ae-9b87-eabd397eb896,OPID_11888,ProdID_1262,2017-01-15T00:00:00.000Z,72,OnlinePurchase,Purchased a product online,77309412318,Karen,Fluellen,Fluellen Karen,2008-08-14T00:00:00.000Z,Female,karen_fluellen@leejohnsonanddean.com,929-701-2167,89037,44543 Rodriguez Throughway,Boston,Massachusetts,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/KarenFluellen.png,8589935000,1
3bff466e-82f1-4e69-b240-7a134719e23e,OPID_7548,ProdID_1151,2017-06-07T00:00:00.000Z,115,OnlinePurchase,Purchased a product online,34359739186,Nancy,Kemmler,Kemmler Nancy,1990-06-05T00:00:00.000Z,Female,nancy_kemmler@hillplc.com,(837)017-7100x3932,37186,104 Samantha Forest Apt. 429,Temecula,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/NancyKemmler.png,34359738737,1
655a67ae-c357-41ce-be3e-0727226c4cb4,OPID_9159,ProdID_1186,2018-01-23T00:00:00.000Z,239,OnlinePurchase,Purchased a product online,77309411719,Elizabeth,Benedix,Elizabeth Benedix,2006-10-30T00:00:00.000Z,Female,elizabeth_benedix@willisllc.com,683-011-5867x0844,41739,73293 Hardy Green Suite 284,Torrance,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/ElizabethBenedix.png,17179869470,1
51e7bd60-d950-4e38-8976-5862cbace870,OPID_5262,ProdID_1104,2018-10-06T00:00:00.000Z,38,OnlinePurchase,Purchased a product online,25769803933,Richard,Landenberger,Richard Landenberger,1975-02-04T00:00:00.000Z,Male,richard_landenberger@mooregroup.com,4467137683,39281,7718 Kiara Locks Suite 182,Pomona,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RichardLandenberger.png,42949673199,1
a939d32c-11c8-4966-8ae9-b5bc7df2b15d,OPID_11010,ProdID_1239,2017-12-17T00:00:00.000Z,87,OnlinePurchase,Purchased a product online,77309412423,Lisa,Fuhs,Fuhs Lisa,1996-08-17T00:00:00.000Z,Female,lisa_fuhs@conwaymartinandgay.com,985-912-4758x258,49858,84788 Felicia Pine Apt. 226,West Palm Beach,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/LisaFuhs.png,34359738370,1
44bd8edf-708f-4c2a-9a3f-d7f5f7783d4b,OPID_4073,ProdID_1084,2018-04-05T00:00:00.000Z,127,OnlinePurchase,Purchased a product online,60129542861,Kenneth,Blanscet,Kenneth Blanscet,1988-12-13T00:00:00.000Z,Male,kenneth_blanscet@ortizsmithandwilliams.com,791-326-0717,66827,0062 Raymond Hills Apt. 381,Everett,Washington,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/KennethBlanscet.png,60129542520,1
